gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000267467.3	APOC4	1.30E-41	3	1	3.82E-46	mashr_Brain_Caudate_basal_ganglia	0.916166996	mashr_Spleen	2.079899742	1.58E-16	2.079899742	0.105263159	14.26123619	9.542578513	8.172954841	1	0
ENSG00000203710.10	CR1	1.32E-31	9	1	1.99E-33	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.209362938	mashr_Brain_Hypothalamus	6.976830918	9.00E-19	6.976830918	-2.101123571	12.04807663	8.974690207	5.411252275	1	0
ENSG00000120885.21	CLU	8.93E-27	4	1	1.28E-33	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.011016701	mashr_Spleen	2.295030367	0.194962288	2.295030367	-12.08433723	-2.542168617	-7.496837878	4.507368084	1	0
ENSG00000104853.15	CLPTM1	7.11E-24	11	1	1.97E-27	mashr_Pituitary	0.283883441	mashr_Brain_Hypothalamus	8.328706813	2.32E-18	8.328706813	-10.85096169	10.85096169	2.601725577	9.405335963	1	0
ENSG00000138613.13	APH1B	6.65E-21	10	1	1.65E-21	mashr_Pituitary	0.507046894	mashr_Brain_Hypothalamus	6.888066604	1.47E-17	6.888066604	-2.358778715	9.524825786	6.600143415	4.499685311	1	0
ENSG00000214787.9	MS4A4E	7.24E-21	4	1	3.06E-20	mashr_Brain_Substantia_nigra	1.02E-19	mashr_Spleen	3.841759954	1.24E-17	3.841759954	9.087111534	9.216867447	9.184428469	0.064877957	1	0
ENSG00000267114.1	CTB-129P6.11	7.91E-21	2	1	2.10E-21	mashr_Brain_Anterior_cingulate_cortex_BA24	3.81E-20	mashr_Brain_Nucleus_accumbens_basal_ganglia	1.993907323	0.006092677	1.993907323	-9.5	-9.193181992	-9.346590996	0.216953094	1	0
ENSG00000234906.9	APOC2	3.80E-18	11	1	2.96E-30	mashr_Brain_Putamen_basal_ganglia	0.018712375	mashr_Brain_Substantia_nigra	9.362276785	3.35E-17	9.362276785	-6.517947585	11.43001059	5.628591876	6.396010406	1	0
ENSG00000186567.12	CEACAM19	5.30E-18	11	1	6.50E-19	mashr_Brain_Amygdala	1.23E-14	mashr_Brain_Cortex	10.45984303	1.78E-18	10.45984303	7.71238522	8.883156088	8.427458573	0.386904025	1	0
ENSG00000073921.17	PICALM	9.96E-17	8	1	1.58E-19	mashr_Brain_Amygdala	0.001496102	mashr_Pituitary	3.621266101	1.79E-17	3.621266101	-4.10309267	9.038834572	4.544078708	4.49537791	1	0
ENSG00000159640.15	ACE	1.31E-16	10	1	5.20E-17	mashr_Brain_Putamen_basal_ganglia	3.95E-12	mashr_Spleen	9.474963454	1.52E-18	9.474963454	-8.190476418	8.382086535	-6.378313134	5.200366787	1	0
ENSG00000149534.8	MS4A2	7.96E-15	1	1	7.96E-15	mashr_Spleen	7.96E-15	mashr_Spleen	1	1	1	-7.768292904	-7.768292904	-7.768292904	NA	1	0
ENSG00000087589.16	CASS4	2.49E-14	11	1	6.04E-16	mashr_Brain_Putamen_basal_ganglia	0.441756319	mashr_Spleen	8.181068193	7.64E-18	8.181068193	-8.088435173	8.088435173	-4.575034107	5.01892057	1	0
ENSG00000161929.14	SCIMP	1.71E-13	11	1	2.12E-12	mashr_Brain_Substantia_nigra	0.472206231	mashr_Brain_Anterior_cingulate_cortex_BA24	5.351783019	5.07E-17	5.351783019	0.718894005	7.026043771	4.609690532	2.557097132	1	0
ENSG00000073008.14	PVR	4.49E-13	11	1	3.07E-18	mashr_Brain_Cortex	1.18E-05	mashr_Brain_Hypothalamus	9.611393955	5.95E-18	9.611393955	-8.708976888	-4.381981811	-6.766455905	1.707849337	1	0
ENSG00000030582.17	GRN	2.51E-12	9	1	1.71E-12	mashr_Brain_Putamen_basal_ganglia	0.789002895	mashr_Brain_Hypothalamus	6.935579399	8.67E-19	6.935579399	-7.056390486	0.393617034	-5.407653272	3.107384815	1	0
ENSG00000237541.3	HLA-DQA2	4.10E-12	5	1	7.84E-12	mashr_Pituitary	4.06E-06	mashr_Brain_Cortex	3.280900295	1.34E-16	3.280900295	-6.841463566	-4.608446118	-5.572145671	1.161570937	1	0
ENSG00000204290.10	BTNL2	1.32E-11	8	1	1.58E-10	mashr_Brain_Cortex	0.670713216	mashr_Pituitary	3.234643855	7.17E-17	3.234643855	0.425169363	6.397165051	3.709100008	2.476452736	1	0
ENSG00000261218.5	RP11-960L18.1	1.74E-11	4	1	2.29E-11	mashr_Brain_Hippocampus	0.352250674	mashr_Brain_Anterior_cingulate_cortex_BA24	2.010504822	8.57E-33	2.010504822	-1.047169805	6.6860466	3.313788995	3.976746808	1	0
ENSG00000197093.10	GAL3ST4	2.51E-11	3	1	5.88E-10	mashr_Spleen	2.33E-08	mashr_Brain_Hippocampus	2.261326219	0.193109372	2.261326219	-6.193548203	5.707316875	-2.0238657	6.70230255	1	0
ENSG00000249061.1	RP11-72L22.1	8.85E-11	1	1	8.85E-11	mashr_Brain_Substantia_nigra	8.85E-11	mashr_Brain_Substantia_nigra	1	1	1	-6.485436916	-6.485436916	-6.485436916	NA	1	0
ENSG00000188186.10	LAMTOR4	1.00E-10	10	1	1.18E-12	mashr_Brain_Amygdala	0.027979059	mashr_Brain_Cortex	6.934046988	1.25E-17	6.934046988	-7.107371752	4.825950724	-3.200765509	4.616673469	1	0
ENSG00000130203.9	APOE	3.72E-10	1	1	3.72E-10	mashr_Brain_Caudate_basal_ganglia	3.72E-10	mashr_Brain_Caudate_basal_ganglia	1	1	1	6.265151501	6.265151501	6.265151501	NA	1	0
ENSG00000130208.9	APOC1	3.72E-10	1	1	3.72E-10	mashr_Brain_Anterior_cingulate_cortex_BA24	3.72E-10	mashr_Brain_Anterior_cingulate_cortex_BA24	1	1	1	-6.265151501	-6.265151501	-6.265151501	NA	1	0
ENSG00000213413.2	PVRIG	4.70E-10	9	1	3.22E-10	mashr_Brain_Caudate_basal_ganglia	0.504985062	mashr_Pituitary	5.994480232	3.10E-17	5.994480232	-6.28762742	4.326086998	-3.139336753	4.253440004	1	0
ENSG00000169592.14	INO80E	5.47E-10	9	1	9.25E-11	mashr_Brain_Hypothalamus	3.11E-08	mashr_Brain_Cortex	8.322273866	1.89E-17	8.322273866	5.534871723	6.478802791	5.972684345	0.283490957	1	0
ENSG00000158869.10	FCER1G	6.76E-10	9	1	3.55E-10	mashr_Spleen	0.6985164	mashr_Brain_Anterior_cingulate_cortex_BA24	4.812392319	2.84E-18	4.812392319	-6.272759895	-0.387323946	-4.20998423	2.312283003	1	0
ENSG00000166508.17	MCM7	9.52E-10	10	1	4.14E-10	mashr_Brain_Substantia_nigra	0.036976683	mashr_Pituitary	7.336938827	5.97E-17	7.336938827	-6.248698987	2.086021423	-4.187617282	3.354361908	1	0
ENSG00000149932.16	TMEM219	2.32E-09	4	1	3.87E-10	mashr_Brain_Putamen_basal_ganglia	6.11E-07	mashr_Brain_Cortex	3.265282786	2.10E-16	3.265282786	4.98780489	6.259259224	5.467253804	0.609608668	1	0
ENSG00000142192.20	APP	3.09E-09	1	1	3.09E-09	mashr_Pituitary	3.09E-09	mashr_Pituitary	1	1	1	-5.926829338	-5.926829338	-5.926829338	NA	1	0
ENSG00000178226.10	PRSS36	3.50E-09	11	1	3.82E-10	mashr_Brain_Putamen_basal_ganglia	0.731028637	mashr_Pituitary	10.08069895	4.59E-17	10.08069895	-6.261070159	-0.343757537	-5.488441506	1.719596522	1	0
ENSG00000253701.2	AL928768.3	3.54E-09	1	1	3.54E-09	mashr_Spleen	3.54E-09	mashr_Spleen	1	1	1	-5.904347897	-5.904347897	-5.904347897	NA	1	0
ENSG00000149923.13	PPP4C	3.78E-09	3	1	5.17E-09	mashr_Pituitary	2.50E-08	mashr_Brain_Hypothalamus	2.7952131	0.015851297	2.7952131	5.573170662	5.841463566	5.689651807	0.137591641	1	0
ENSG00000170684.8	ZNF296	7.61E-09	11	1	2.99E-25	mashr_Brain_Hypothalamus	0.343981476	mashr_Spleen	6.228340983	1.38E-17	6.228340983	-10.38202286	2.301724195	-4.748793629	3.306014026	1	0
ENSG00000270761.1	RP11-385F7.1	1.41E-08	11	1	4.00E-12	mashr_Spleen	0.159590072	mashr_Brain_Hippocampus	9.364886698	1.52E-17	9.364886698	-6.937112988	1.406451583	-5.016440828	2.344679002	1	0
ENSG00000079313.13	REXO1	2.02E-08	8	1	1.81E-08	mashr_Brain_Caudate_basal_ganglia	0.209163631	mashr_Pituitary	4.481591554	4.97E-17	4.481591554	-5.629203024	5.520363821	-2.736274955	3.642793982	1	0
ENSG00000221838.9	AP4M1	2.06E-08	11	1	2.57E-09	mashr_Brain_Caudate_basal_ganglia	0.146820833	mashr_Brain_Substantia_nigra	7.506369019	2.32E-17	7.506369019	-5.957035888	3.415032434	-3.660063401	3.233491929	1	0
ENSG00000256762.1	STH	2.25E-08	2	1	2.25E-08	mashr_Brain_Putamen_basal_ganglia	2.25E-08	mashr_Brain_Cortex	2	3.35E-17	2	-5.591836929	-5.591836929	-5.591836929	8.88E-16	1	0
ENSG00000138380.17	CARF	2.38E-08	10	1	2.20E-08	mashr_Brain_Caudate_basal_ganglia	0.027724263	mashr_Brain_Cortex	7.774325715	1.24E-18	7.774325715	2.201166153	5.595213291	4.754304343	1.357098067	1	0
ENSG00000136717.14	BIN1	2.87E-08	11	1	1.23E-22	mashr_Spleen	0.164757374	mashr_Brain_Putamen_basal_ganglia	6.513932049	6.91E-18	6.513932049	-8.373600069	9.790698051	-2.461149239	5.002298023	1	0
ENSG00000166997.7	CNPY4	3.76E-08	8	1	8.11E-10	mashr_Brain_Anterior_cingulate_cortex_BA24	0.473810866	mashr_Spleen	4.838955084	8.26E-17	4.838955084	-6.142857075	-0.716292323	-3.83009347	2.250845881	1	0
ENSG00000090238.11	YPEL3	6.19E-08	11	1	4.43E-08	mashr_Brain_Anterior_cingulate_cortex_BA24	9.86E-08	mashr_Brain_Hypothalamus	10.99366076	2.62E-17	10.99366076	-5.47269435	-5.329268456	-5.411708154	0.056573392	1	0
ENSG00000174226.8	SNX31	7.97E-08	10	1	1.46E-08	mashr_Brain_Anterior_cingulate_cortex_BA24	1.26E-06	mashr_Brain_Putamen_basal_ganglia	9.635491049	5.67E-17	9.635491049	4.845604236	5.666666508	5.269843851	0.236645975	1	0
ENSG00000106261.16	ZKSCAN1	9.03E-08	7	1	1.40E-09	mashr_Brain_Substantia_nigra	0.216886893	mashr_Brain_Cortex	3.612692577	1.02E-16	3.612692577	-5.409749676	6.054944992	1.305977698	4.305925726	1	0
ENSG00000149927.17	DOC2A	9.14E-08	11	1	2.52E-10	mashr_Brain_Hippocampus	0.877126054	mashr_Brain_Anterior_cingulate_cortex_BA24	6.0799309	4.20E-17	6.0799309	-0.154613465	6.325782811	3.264915408	2.922867041	1	0
ENSG00000196352.14	CD55	1.58E-07	8	1	7.43E-08	mashr_Brain_Amygdala	0.974754702	mashr_Brain_Hippocampus	5.252170204	1.12E-16	5.252170204	-5.38043499	-0.03164557	-3.861291048	2.018462105	1	0
ENSG00000108556.7	CHRNE	1.58E-07	11	1	8.15E-08	mashr_Spleen	0.032429765	mashr_Pituitary	9.938657048	1.12E-16	9.938657048	-2.139072895	5.363752748	4.546335807	2.222421605	1	0
ENSG00000174939.10	ASPHD1	1.59E-07	9	1	7.60E-08	mashr_Brain_Hypothalamus	0.84582789	mashr_Pituitary	5.493551422	1.16E-16	5.493551422	-5.376333125	0.194444448	-3.917111037	1.632124369	1	0
ENSG00000095585.16	BLNK	1.69E-07	5	1	1.75E-07	mashr_Brain_Amygdala	0.044921325	mashr_Spleen	4.000131129	3.12E-19	4.000131129	2.005390418	5.224298954	4.580517247	1.43953966	1	0
ENSG00000130270.16	ATP8B3	1.77E-07	11	1	9.59E-09	mashr_Brain_Amygdala	0.001398019	mashr_Pituitary	10.04235765	1.99E-19	10.04235765	3.195059768	5.737770683	4.955282808	0.661954796	1	0
ENSG00000107447.7	DNTT	1.80E-07	3	1	1.80E-07	mashr_Spleen	1.80E-07	mashr_Brain_Hypothalamus	3	2.11E-48	3	-5.218604565	5.218604565	-1.739534855	6.0259255	1	0
ENSG00000189298.13	ZKSCAN3	2.07E-07	11	1	8.29E-08	mashr_Brain_Hypothalamus	0.005133362	mashr_Spleen	6.737596189	3.61E-17	6.737596189	-5.360786149	-2.798543692	-4.010740314	1.058831323	1	0
ENSG00000110079.16	MS4A4A	2.25E-07	6	1	1.73E-10	mashr_Brain_Caudate_basal_ganglia	0.31045797	mashr_Pituitary	4.315422316	2.12E-17	4.315422316	1.014261541	6.383720875	4.225696255	2.541757857	1	0
ENSG00000198087.7	CD2AP	2.67E-07	10	1	6.42E-13	mashr_Brain_Anterior_cingulate_cortex_BA24	0.159590072	mashr_Brain_Amygdala	5.011471012	5.22E-18	5.011471012	1.406451583	7.191150021	3.982782349	2.158403938	1	0
ENSG00000232748.3	RP11-196G11.6	2.77E-07	7	1	1.16E-07	mashr_Brain_Anterior_cingulate_cortex_BA24	5.59E-06	mashr_Brain_Nucleus_accumbens_basal_ganglia	6.076622679	7.30E-17	6.076622679	4.541176319	5.299190758	4.782840615	0.31291264	1	0
ENSG00000146826.16	C7orf43	2.81E-07	9	1	2.81E-07	mashr_Brain_Amygdala	2.81E-07	mashr_Brain_Caudate_basal_ganglia	9	2.67E-17	9	-5.135802269	-5.135802269	-5.135802269	5.44E-16	1	0
ENSG00000176681.14	LRRC37A	2.97E-07	4	1	1.63E-07	mashr_Brain_Caudate_basal_ganglia	0.022002626	mashr_Brain_Putamen_basal_ganglia	2.874831316	1.06E-17	2.874831316	-5.237623692	-2.290322542	-4.326430976	1.367324322	1	0
ENSG00000145214.13	DGKQ	3.31E-07	10	1	4.15E-10	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.25728743	mashr_Brain_Caudate_basal_ganglia	4.850704892	0.002802445	4.850704892	-6.248183576	5.155339718	1.358208727	4.108823489	1	0
ENSG00000185294.6	SPPL2C	3.59E-07	6	1	4.02E-08	mashr_Brain_Anterior_cingulate_cortex_BA24	0.023311375	mashr_Brain_Hypothalamus	5.143465614	9.78E-34	5.143465614	-5.489795685	-2.268292665	-4.605353001	1.416510637	1	0
ENSG00000105383.14	CD33	3.76E-07	10	1	5.57E-06	mashr_Spleen	0.004339742	mashr_Brain_Anterior_cingulate_cortex_BA24	6.000750938	1.15E-17	6.000750938	2.852349043	4.542253292	3.916813421	0.64084003	1	0
ENSG00000138442.9	WDR12	3.84E-07	9	1	1.43E-07	mashr_Brain_Caudate_basal_ganglia	0.445963234	mashr_Pituitary	5.970192825	1.41E-33	5.970192825	-0.762162149	5.260842402	3.505096954	2.478832176	1	0
ENSG00000132613.14	MTSS1L	4.07E-07	10	1	3.91E-07	mashr_Brain_Substantia_nigra	0.859160804	mashr_Spleen	5.852768005	2.19E-17	5.852768005	-0.177442528	5.073441148	3.441937746	2.015448681	1	0
ENSG00000099817.11	POLR2E	4.20E-07	11	1	1.51E-08	mashr_Brain_Caudate_basal_ganglia	0.959534182	mashr_Pituitary	7.888646877	7.80E-17	7.888646877	-2.142993723	5.660703229	3.61823167	2.704020371	1	0
ENSG00000103642.11	LACTB	5.31E-07	11	1	6.34E-09	mashr_Brain_Anterior_cingulate_cortex_BA24	0.009493549	mashr_Pituitary	9.951073843	6.99E-18	9.951073843	2.59375	5.807623854	4.72510992	0.876336346	1	0
ENSG00000137504.13	CREBZF	5.73E-07	1	1	5.73E-07	mashr_Brain_Hippocampus	5.73E-07	mashr_Brain_Hippocampus	1	1	1	5	5	5	NA	1	0
ENSG00000158864.12	NDUFS2	6.37E-07	11	1	4.71E-09	mashr_Brain_Amygdala	0.006641888	mashr_Spleen	8.816583925	2.02E-17	8.816583925	-5.857115213	-2.714285612	-4.404992464	1.116613522	1	0
ENSG00000109920.12	FNBP4	7.29E-07	8	1	1.86E-08	mashr_Brain_Amygdala	0.004635555	mashr_Brain_Nucleus_accumbens_basal_ganglia	6.788611065	2.53E-17	6.788611065	-5.625	-2.831325293	-4.522926307	1.408496714	1	0
ENSG00000174943.9	KCTD13	8.89E-07	8	1	8.89E-07	mashr_Brain_Hippocampus	8.89E-07	mashr_Brain_Cortex	8	1.66E-35	8	-4.914634228	4.914634228	0	5.253964989	1	0
ENSG00000052344.15	PRSS8	1.06E-06	10	1	2.43E-06	mashr_Brain_Amygdala	0.016596702	mashr_Brain_Substantia_nigra	7.821663802	1.89E-33	7.821663802	-4.714285851	2.58950232	-3.728221156	2.334652944	1	0
ENSG00000145217.13	SLC26A1	1.12E-06	11	1	4.03E-10	mashr_Brain_Amygdala	8.71E-05	mashr_Brain_Hippocampus	10.13617655	2.76E-17	10.13617655	-6.252808545	-3.923854372	-4.706507493	0.616490705	1	0
ENSG00000187037.8	GPR141	1.27E-06	6	1	1.32E-06	mashr_Brain_Hippocampus	0.234740727	mashr_Brain_Putamen_basal_ganglia	5.044885177	6.68E-17	5.044885177	-4.837209225	-1.188235283	-4.229046901	1.489687374	1	0
ENSG00000086289.11	EPDR1	1.27E-06	7	1	1.32E-06	mashr_Brain_Anterior_cingulate_cortex_BA24	0.910704847	mashr_Spleen	4.004069435	4.33E-17	4.004069435	-4.837209225	4.837209225	1.871920766	3.543774677	1	0
ENSG00000260163.1	RP11-521O16.2	1.31E-06	10	1	9.89E-12	mashr_Pituitary	0.000167503	mashr_Brain_Hippocampus	8.214359185	4.50E-18	8.214359185	3.763572939	6.808052066	4.830317526	0.815171788	1	0
ENSG00000123444.13	KBTBD4	1.43E-06	9	1	1.43E-06	mashr_Brain_Anterior_cingulate_cortex_BA24	1.43E-06	mashr_Brain_Nucleus_accumbens_basal_ganglia	9	2.20E-32	9	-4.820224762	4.820224762	1.606741587	4.820224762	1	0
ENSG00000167395.10	ZNF646	1.45E-06	11	1	2.11E-07	mashr_Brain_Hippocampus	0.692760423	mashr_Spleen	9.586332211	4.14E-17	9.586332211	-5.189420698	-0.395111742	-4.34761577	1.334137745	1	0
ENSG00000103507.13	BCKDK	2.17E-06	8	1	2.29E-06	mashr_Brain_Amygdala	2.43E-06	mashr_Brain_Hypothalamus	7.943488523	2.09E-17	7.943488523	-4.714285851	4.726190567	3.541666746	3.335913811	1	0
ENSG00000189134.3	NKAPL	2.22E-06	9	1	5.36E-08	mashr_Brain_Anterior_cingulate_cortex_BA24	0.034703509	mashr_Brain_Caudate_basal_ganglia	4.759375185	3.28E-17	4.759375185	2.111801147	5.439024448	3.799602615	1.4062752	1	0
ENSG00000123064.12	DDX54	2.32E-06	11	1	2.75E-06	mashr_Brain_Hypothalamus	0.231275275	mashr_Brain_Cortex	8.840320341	1.85E-17	8.840320341	-4.688311577	4.688311577	-2.323063035	3.734295649	1	0
ENSG00000139405.15	RITA1	2.76E-06	11	1	1.40E-06	mashr_Brain_Cortex	2.07E-05	mashr_Brain_Nucleus_accumbens_basal_ganglia	10.70029046	2.67E-17	10.70029046	-4.824884057	-4.257074745	-4.622701607	0.162414308	1	0
ENSG00000124596.16	OARD1	3.11E-06	4	1	4.19E-06	mashr_Brain_Amygdala	0.026325638	mashr_Spleen	2.597544841	0.008415523	2.597544841	-4.601941586	2.221374035	-2.673242629	3.284303208	1	0
ENSG00000167394.12	ZNF668	3.34E-06	9	1	3.92E-07	mashr_Brain_Hypothalamus	4.69E-06	mashr_Brain_Anterior_cingulate_cortex_BA24	8.932613103	2.34E-20	8.932613103	4.578313351	5.072999823	4.633278514	0.164895491	1	0
ENSG00000091536.16	MYO15A	3.45E-06	10	1	1.04E-05	mashr_Brain_Hypothalamus	0.024448945	mashr_Spleen	5.676766504	4.67E-17	5.676766504	-2.57372551	4.409638405	2.86917527	2.14182782	1	0
ENSG00000143222.11	UFC1	3.74E-06	9	1	3.71E-07	mashr_Brain_Amygdala	0.596873604	mashr_Spleen	6.216875653	2.79E-33	6.216875653	-5.083333492	4.164999962	0.780248291	4.33826805	1	0
ENSG00000103510.19	KAT8	3.79E-06	10	1	3.44E-08	mashr_Brain_Anterior_cingulate_cortex_BA24	0.039909198	mashr_Brain_Hippocampus	7.300381299	4.67E-17	7.300381299	-5.517273556	-2.0546875	-4.212547955	1.169623575	1	0
ENSG00000103356.15	EARS2	4.00E-06	10	1	3.68E-06	mashr_Brain_Hippocampus	3.35E-05	mashr_Pituitary	9.704787951	6.21E-17	9.704787951	4.148443885	4.628832133	4.54124871	0.143862729	1	0
ENSG00000120088.14	CRHR1	4.25E-06	7	1	6.37E-08	mashr_Brain_Hypothalamus	0.651831357	mashr_Brain_Amygdala	4.833801959	6.93E-18	4.833801959	0.451219499	5.408163071	3.401150984	2.515406491	1	0
ENSG00000247011.2	RP11-700H6.1	4.99E-06	3	1	7.71E-06	mashr_Brain_Nucleus_accumbens_basal_ganglia	4.15E-05	mashr_Brain_Caudate_basal_ganglia	2.592918661	0.014981343	2.592918661	4.09875403	4.473118305	4.247014098	0.198952093	1	0
ENSG00000108518.7	PFN1	5.00E-06	8	1	2.77E-06	mashr_Brain_Hypothalamus	0.389532709	mashr_Brain_Anterior_cingulate_cortex_BA24	7.277251364	4.03E-17	7.277251364	0.860465109	4.6875	4.209120639	1.353061162	1	0
ENSG00000022277.12	RTFDC1	5.05E-06	3	1	2.14E-06	mashr_Brain_Putamen_basal_ganglia	0.027291912	mashr_Brain_Cortex	2.340152427	1.96E-33	2.340152427	2.207317114	4.739999771	3.895772219	1.462245014	1	0
ENSG00000154127.9	UBASH3B	5.31E-06	8	1	4.08E-06	mashr_Brain_Amygdala	0.330521909	mashr_Brain_Caudate_basal_ganglia	6.69312271	4.16E-17	6.69312271	-3.822122385	4.607142925	2.804304282	3.30020871	1	0
ENSG00000117322.17	CR2	5.33E-06	4	1	2.25E-16	mashr_Brain_Hippocampus	0.494079028	mashr_Spleen	1.729608789	0.255203067	1.729608789	-2.33191996	8.207971978	2.432829057	4.459432576	1	0
ENSG00000260911.2	RP11-196G11.2	5.34E-06	11	1	4.35E-07	mashr_Pituitary	0.001459357	mashr_Brain_Caudate_basal_ganglia	10.69888094	2.77E-17	10.69888094	-5.053090392	-3.182646402	-4.483887896	0.482733923	1	0
ENSG00000124459.11	ZNF45	5.36E-06	11	1	2.45E-06	mashr_Brain_Hippocampus	0.427499236	mashr_Pituitary	7.294987921	5.99E-17	7.294987921	-4.712482925	-0.793478251	-3.558841934	1.262619328	1	0
ENSG00000158859.9	ADAMTS4	5.48E-06	1	1	5.48E-06	mashr_Spleen	5.48E-06	mashr_Spleen	1	1	1	-4.545454502	-4.545454502	-4.545454502	NA	1	0
ENSG00000124701.5	APOBEC2	6.30E-06	5	1	2.61E-06	mashr_Brain_Anterior_cingulate_cortex_BA24	0.03134448	mashr_Brain_Putamen_basal_ganglia	4.042529531	6.59E-33	4.042529531	2.152671814	4.699028969	4.189757538	1.138765539	1	0
ENSG00000204592.8	HLA-E	6.81E-06	5	1	1.30E-06	mashr_Brain_Anterior_cingulate_cortex_BA24	0.00016254	mashr_Brain_Caudate_basal_ganglia	4.505011602	1.46E-17	4.505011602	3.771084309	4.839080334	4.278861042	0.485183374	1	0
ENSG00000165915.13	SLC39A13	6.98E-06	10	1	1.07E-08	mashr_Brain_Caudate_basal_ganglia	2.34E-05	mashr_Brain_Anterior_cingulate_cortex_BA24	9.843417479	2.64E-17	9.843417479	-5.718678082	-4.229885101	-4.465814131	0.518292608	1	0
ENSG00000260136.5	CTD-2270L9.4	7.40E-06	10	1	4.93E-06	mashr_Brain_Hippocampus	0.803417217	mashr_Pituitary	7.626965629	8.16E-18	7.626965629	-4.567567348	0.935103238	-3.386123969	2.108319108	1	0
ENSG00000106460.18	TMEM106B	7.42E-06	9	1	2.33E-06	mashr_Brain_Substantia_nigra	0.935626213	mashr_Spleen	5.873734682	1.09E-16	5.873734682	-4.722891331	-0.080768307	-3.420393573	1.472686594	1	0
ENSG00000086288.11	NME8	7.64E-06	11	1	2.27E-06	mashr_Brain_Amygdala	0.01517022	mashr_Pituitary	9.768438154	5.73E-18	9.768438154	2.428289705	4.727655388	4.174750352	0.697969238	1	0
ENSG00000139629.15	GALNT6	8.07E-06	10	1	3.87E-06	mashr_Brain_Putamen_basal_ganglia	0.058051914	mashr_Pituitary	9.205338168	5.14E-17	9.205338168	-4.61824092	-1.895305697	-4.226844394	0.824972438	1	0
ENSG00000204576.11	PRR3	8.81E-06	3	1	3.62E-06	mashr_Brain_Substantia_nigra	2.28E-05	mashr_Brain_Caudate_basal_ganglia	2.893079756	2.39E-17	2.893079756	-4.632184029	4.235294342	-1.544061343	5.009001343	1	0
ENSG00000167397.14	VKORC1	9.40E-06	10	1	6.61E-06	mashr_Brain_Amygdala	0.001879151	mashr_Spleen	9.516364805	9.46E-18	9.516364805	3.108695745	4.506023884	4.305578537	0.461801271	1	0
ENSG00000103496.14	STX4	1.23E-05	11	1	6.42E-06	mashr_Pituitary	2.06E-05	mashr_Brain_Amygdala	10.41230525	5.17E-33	10.41230525	-4.258823395	4.511904716	3.507499261	2.576916559	1	0
ENSG00000129450.8	SIGLEC9	1.24E-05	7	1	4.30E-05	mashr_Brain_Anterior_cingulate_cortex_BA24	0.108264985	mashr_Spleen	4.267198188	2.26E-17	4.267198188	-4.090909004	4.090909004	0.582446827	3.725945157	1	0
ENSG00000166797.10	FAM96A	1.24E-05	3	1	2.06E-06	mashr_Spleen	0.904753977	mashr_Brain_Cortex	1.826468366	0.172514407	1.826468366	-4.74747467	-0.11965812	-2.823842806	2.410626171	1	0
ENSG00000120071.13	KANSL1	1.26E-05	10	1	3.29E-08	mashr_Brain_Putamen_basal_ganglia	0.424131785	mashr_Brain_Hippocampus	6.488877126	1.99E-17	6.488877126	-5.525252342	1.519519422	-3.091510917	2.769866798	1	0
ENSG00000156170.12	NDUFAF6	1.31E-05	10	1	8.51E-09	mashr_Brain_Putamen_basal_ganglia	0.221623607	mashr_Brain_Nucleus_accumbens_basal_ganglia	5.984506638	7.27E-17	5.984506638	1.222222209	5.758042651	3.497383283	1.893183842	1	0
ENSG00000204287.13	HLA-DRA	1.35E-05	7	1	5.98E-09	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.940146822	mashr_Brain_Hypothalamus	3.267479839	5.44E-19	3.267479839	-1.808219194	5.817391396	2.027425	3.398575293	1	0
ENSG00000251665.1	RP11-700H6.2	1.40E-05	1	1	1.40E-05	mashr_Pituitary	1.40E-05	mashr_Pituitary	1	1	1	-4.34408617	-4.34408617	-4.34408617	NA	1	0
ENSG00000099365.10	STX1B	1.41E-05	2	1	1.14E-05	mashr_Spleen	2.06E-05	mashr_Brain_Hippocampus	1.982305241	0.017694759	1.982305241	-4.388235092	-4.258823395	-4.323529243	0.091507889	1	0
ENSG00000146094.13	DOK3	1.91E-05	4	1	1.56E-05	mashr_Pituitary	0.72081725	mashr_Brain_Caudate_basal_ganglia	1.98330153	2.30E-16	1.98330153	-0.357366771	4.320652008	2.926458751	2.199912346	1	0
ENSG00000172803.17	SNX32	1.94E-05	11	1	1.80E-05	mashr_Brain_Amygdala	7.44E-05	mashr_Brain_Cortex	10.72198173	3.03E-17	10.72198173	-4.288288116	-3.961843678	-4.216481002	0.125910507	1	0
ENSG00000130202.9	NECTIN2	1.97E-05	7	1	3.10E-33	mashr_Brain_Putamen_basal_ganglia	0.019444326	mashr_Spleen	3.18210039	1.07E-17	3.18210039	-8.171724426	12.01136398	-0.125941501	7.140420037	1	0
ENSG00000066336.11	SPI1	2.00E-05	10	1	4.71E-09	mashr_Brain_Amygdala	0.003221979	mashr_Brain_Anterior_cingulate_cortex_BA24	8.502637186	2.63E-17	8.502637186	2.945725795	5.857142925	4.051459438	1.242267316	1	0
