gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000173376.13	NDNF	0.036420067	4	1	0.048379049	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.283590197	mashr_Brain_Substantia_nigra	2.222858415	0.023966938	2.222858415	-1.974023695	-1.072289109	-1.566842346	0.394662429	1	0
ENSG00000105538.9	RASIP1	0.03642669	6	1	0.036347075	mashr_Brain_Hypothalamus	0.036442631	mashr_Brain_Cortex	6	1.26E-49	6	2.091953993	2.0930233	2.092132211	0.000436543	1	0
ENSG00000152672.7	CLEC4F	0.036460647	8	1	0.010352427	mashr_Pituitary	0.651547883	mashr_Brain_Nucleus_accumbens_basal_ganglia	4.152767734	9.20E-17	4.152767734	-2.563829899	1.929832952	-0.696770024	1.637576101	1	0
ENSG00000067182.7	TNFRSF1A	0.036509745	10	1	0.020055862	mashr_Brain_Hippocampus	0.311514987	mashr_Spleen	9.416979288	2.85E-17	9.416979288	-2.32530117	1.012048244	-1.812381639	1.019298673	1	0
ENSG00000164654.15	MIOS	0.036579288	11	1	0.016781293	mashr_Spleen	0.840288491	mashr_Brain_Cortex	7.439491834	2.21E-16	7.439491834	0.201524478	2.391464807	1.606238271	0.737002578	1	0
ENSG00000129518.8	EAPP	0.036609713	9	1	0.036609713	mashr_Brain_Amygdala	0.036609713	mashr_Brain_Hypothalamus	9	5.42E-33	9	2.090090036	2.090090036	2.090090036	3.14E-16	1	0
ENSG00000179813.6	FAM216B	0.036623569	4	1	0.036623569	mashr_Brain_Amygdala	0.036623569	mashr_Brain_Amygdala	4	1.24E-32	4	-2.08993578	-2.08993578	-2.08993578	0	1	0
ENSG00000146469.12	VIP	0.036635858	3	1	0.042691295	mashr_Pituitary	0.28999182	mashr_Brain_Hippocampus	2.012142099	6.92E-33	2.012142099	-1.058139563	2.026717663	0.998431921	1.78104315	1	0
ENSG00000140284.10	SLC27A2	0.036678133	11	1	0.013473036	mashr_Brain_Caudate_basal_ganglia	0.836830449	mashr_Brain_Nucleus_accumbens_basal_ganglia	7.465665712	7.06E-18	7.465665712	-0.599506378	2.4710145	1.512371711	1.169480188	1	0
ENSG00000092931.11	MFSD11	0.036706691	6	1	0.025226394	mashr_Brain_Caudate_basal_ganglia	0.37619274	mashr_Brain_Putamen_basal_ganglia	4.511146837	0.010090055	4.511146837	0.884933053	2.237918139	1.797330872	0.549193891	1	0
ENSG00000139697.13	SBNO1	0.036728983	9	1	0.002026086	mashr_Brain_Caudate_basal_ganglia	0.26961543	mashr_Brain_Cortex	5.042480469	5.84E-17	5.042480469	-1.162638434	3.086381691	1.663541433	1.354729191	1	0
ENSG00000130300.8	PLVAP	0.036795463	6	1	0.025070792	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.481286829	mashr_Brain_Anterior_cingulate_cortex_BA24	4.466474986	6.07E-19	4.466474986	-0.896551728	2.240310192	1.461487235	1.30843727	1	0
ENSG00000178175.11	ZNF366	0.03684967	5	1	0.030450608	mashr_Brain_Amygdala	0.102875974	mashr_Pituitary	4.019231474	8.64E-19	4.019231474	1.631067991	2.164179087	2.057556868	0.23841453	1	0
ENSG00000266010.1	GATA6-AS1	0.036850854	1	1	0.036850854	mashr_Pituitary	0.036850854	mashr_Pituitary	1	1	1	2.087412596	2.087412596	2.087412596	NA	1	0
ENSG00000090470.14	PDCD7	0.03685223	4	1	0.014574974	mashr_Brain_Caudate_basal_ganglia	0.405535548	mashr_Brain_Cortex	1.888257682	0.120618227	1.888257682	-2.442771196	-0.831775725	-1.567576125	0.67553997	1	0
ENSG00000167549.18	CORO6	0.036955851	7	1	0.010231633	mashr_Brain_Substantia_nigra	0.130937149	mashr_Pituitary	5.423214503	4.24E-32	5.423214503	-2.567901134	-1.510416627	-1.837274398	0.382358221	1	0
ENSG00000187815.9	ZFP69	0.036990453	11	1	0.014567022	mashr_Brain_Hypothalamus	0.469494983	mashr_Brain_Cortex	9.755459362	6.87E-17	9.755459362	-2.442968167	-0.723300993	-1.947059686	0.444164205	1	0
